-----------------------------------------------------
| DataSource          0GL_ACCOUNT_T011_HIER         |
| Struktur            DTFIGL_HIERNODE               |
-----------------------------------------------------
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|ID(NODEI|InfoObject(IOBJNM)            |Node name(NODENAME)             |Le|L|Parent I|Child ID|Next ID(|Valid from|To(DATETO)|I|Field(FIELDNM)                |Chrt|G/L acct(S|S|(|
|      18|0HIER_NODE                    |GKR 1031011                     | 6| |      17|      19|      23|          |          | |NODENAME                      |    |          | | |
|      19|0GL_ACCOUNT                   |GKR 0000034000                  | 7| |      18|        |      20|          |          | |SAKNR                         |GKR |34000     | | |
|      20|0GL_ACCOUNT                   |GKR 0000035000                  | 7| |      18|        |      21|          |          | |SAKNR                         |GKR |35000     | | |
|      21|0GL_ACCOUNT                   |GKR 0000036000                  | 7| |      18|        |      22|          |          | |SAKNR                         |GKR |36000     | | |
|      22|0GL_ACCOUNT                   |GKR 0000037000                  | 7| |      18|        |        |          |          | |SAKNR                         |GKR |37000     | | |
|      23|0HIER_NODE                    |GKR 1031012                     | 6| |      17|      24|        |          |          | |NODENAME                      |    |          | | |
|      24|0GL_ACCOUNT                   |GKR 0000034010                  | 7| |      23|        |      25|          |          | |SAKNR                         |GKR |34010     | | |
|      25|0GL_ACCOUNT                   |GKR 0000035010                  | 7| |      23|        |      26|          |          | |SAKNR                         |GKR |35010     | | |
|      26|0GL_ACCOUNT                   |GKR 0000036010                  | 7| |      23|        |      27|          |          | |SAKNR                         |GKR |36010     | | |
|      27|0GL_ACCOUNT                   |GKR 0000037010                  | 7| |      23|        |        |          |          | |SAKNR                         |GKR |37010     | | |
|      28|0HIER_NODE                    |GKR 1031020                     | 5| |      16|      29|      33|          |          | |NODENAME                      |    |          | | |
|      29|0HIER_NODE                    |GKR 1031021                     | 6| |      28|      30|      31|          |          | |NODENAME                      |    |          | | |
|      30|0GL_ACCOUNT                   |GKR 0000038000                  | 7| |      29|        |        |          |          | |SAKNR                         |GKR |38000     | | |
|      31|0HIER_NODE                    |GKR 1031022                     | 6| |      28|      32|        |          |          | |NODENAME                      |    |          | | |
|      32|0GL_ACCOUNT                   |GKR 0000038010                  | 7| |      31|        |        |          |          | |SAKNR                         |GKR |38010     | | |
|      33|0HIER_NODE                    |GKR 1031030                     | 5| |      16|      34|        |          |          | |NODENAME                      |    |          | | |
|      34|0HIER_NODE                    |GKR 1031031                     | 6| |      33|      35|      39|          |          | |NODENAME                      |    |          | | |
|      35|0GL_ACCOUNT                   |GKR 0000039000                  | 7| |      34|        |      36|          |          | |SAKNR                         |GKR |39000     | | |
|      36|0GL_ACCOUNT                   |GKR 0000039010                  | 7| |      34|        |      37|          |          | |SAKNR                         |GKR |39010     | | |
|      37|0GL_ACCOUNT                   |GKR 0000039100                  | 7| |      34|        |      38|          |          | |SAKNR                         |GKR |39100     | | |
|      38|0GL_ACCOUNT                   |GKR 0000039200                  | 7| |      34|        |        |          |          | |SAKNR                         |GKR |39200     | | |
|      39|0HIER_NODE                    |GKR 1031032                     | 6| |      33|      40|        |          |          | |NODENAME                      |    |          | | |
|      40|0GL_ACCOUNT                   |GKR 0000039110                  | 7| |      39|        |        |          |          | |SAKNR                         |GKR |39110     | | |
|      41|0HIER_NODE                    |GKR 1032000                     | 4| |      15|      42|      72|          |          | |NODENAME                      |    |          | | |
|      42|0HIER_NODE                    |GKR 1032010                     | 5| |      41|      43|      49|          |          | |NODENAME                      |    |          | | |
|      43|0HIER_NODE                    |GKR 1032011                     | 6| |      42|      44|      46|          |          | |NODENAME                      |    |          | | |
|      44|0GL_ACCOUNT                   |GKR 0000001000                  | 7| |      43|        |      45|          |          | |SAKNR                         |GKR |1000      | | |
|      45|0GL_ACCOUNT                   |GKR 0000002000                  | 7| |      43|        |        |          |          | |SAKNR                         |GKR |2000      | | |
|      46|0HIER_NODE                    |GKR 1032012                     | 6| |      42|      47|        |          |          | |NODENAME                      |    |          | | |
|      47|0GL_ACCOUNT                   |GKR 0000001010                  | 7| |      46|        |      48|          |          | |SAKNR                         |GKR |1010      | | |
|      48|0GL_ACCOUNT                   |GKR 0000002010                  | 7| |      46|        |        |          |          | |SAKNR                         |GKR |2010      | | |
|      49|0HIER_NODE                    |GKR 1032020                     | 5| |      41|      50|      56|          |          | |NODENAME                      |    |          | | |
|      50|0HIER_NODE                    |GKR 1032021                     | 6| |      49|      51|      53|          |          | |NODENAME                      |    |          | | |
|      51|0GL_ACCOUNT                   |GKR 0000011000                  | 7| |      50|        |      52|          |          | |SAKNR                         |GKR |11000     | | |
|      52|0GL_ACCOUNT                   |GKR 0000012000                  | 7| |      50|        |        |          |          | |SAKNR                         |GKR |12000     | | |
|      53|0HIER_NODE                    |GKR 1032022                     | 6| |      49|      54|        |          |          | |NODENAME                      |    |          | | |
|      54|0GL_ACCOUNT                   |GKR 0000011010                  | 7| |      53|        |      55|          |          | |SAKNR                         |GKR |11010     | | |
|      55|0GL_ACCOUNT                   |GKR 0000012010                  | 7| |      53|        |        |          |          | |SAKNR                         |GKR |12010     | | |
|      56|0HIER_NODE                    |GKR 1032030                     | 5| |      41|      57|      63|          |          | |NODENAME                      |    |          | | |
|      57|0HIER_NODE                    |GKR 1032031                     | 6| |      56|      58|      60|          |          | |NODENAME                      |    |          | | |
|      58|0GL_ACCOUNT                   |GKR 0000021000                  | 7| |      57|        |      59|          |          | |SAKNR                         |GKR |21000     | | |
|      59|0GL_ACCOUNT                   |GKR 0000022000                  | 7| |      57|        |        |          |          | |SAKNR                         |GKR |22000     | | |
|      60|0HIER_NODE                    |GKR 1032032                     | 6| |      56|      61|        |          |          | |NODENAME                      |    |          | | |
|      61|0GL_ACCOUNT                   |GKR 0000021010                  | 7| |      60|        |      62|          |          | |SAKNR                         |GKR |21010     | | |
|      62|0GL_ACCOUNT                   |GKR 0000022010                  | 7| |      60|        |        |          |          | |SAKNR                         |GKR |22010     | | |
|      63|0HIER_NODE                    |GKR 1032040                     | 5| |      41|      64|        |          |          | |NODENAME                      |    |          | | |
|      64|0HIER_NODE                    |GKR 1032041                     | 6| |      63|      65|      70|          |          | |NODENAME                      |    |          | | |
|      65|0GL_ACCOUNT                   |GKR 0000031000                  | 7| |      64|        |      66|          |          | |SAKNR                         |GKR |31000     | | |
|      66|0GL_ACCOUNT                   |GKR 0000031010                  | 7| |      64|        |      67|          |          | |SAKNR                         |GKR |31010     | | |
|      67|0GL_ACCOUNT                   |GKR 0000031100                  | 7| |      64|        |      68|          |          | |SAKNR                         |GKR |31100     | | |
|      68|0GL_ACCOUNT                   |GKR 0000031200                  | 7| |      64|        |      69|          |          | |SAKNR                         |GKR |31200     | | |
|      69|0GL_ACCOUNT                   |GKR 0000032000                  | 7| |      64|        |        |          |          | |SAKNR                         |GKR |32000     | | |
|      70|0HIER_NODE                    |GKR 1032042                     | 6| |      63|      71|        |          |          | |NODENAME                      |    |          | | |
|      71|0GL_ACCOUNT                   |GKR 0000032010                  | 7| |      70|        |        |          |          | |SAKNR                         |GKR |32010     | | |
|      72|0HIER_NODE                    |GKR 1033000                     | 4| |      15|      73|        |          |          | |NODENAME                      |    |          | | |
|      73|0HIER_NODE                    |GKR 1033010                     | 5| |      72|      74|      75|          |          | |NODENAME                      |    |          | | |
|      74|0GL_ACCOUNT                   |GKR 0000041000                  | 6| |      73|        |        |          |          | |SAKNR                         |GKR |41000     | | |
|      75|0HIER_NODE                    |GKR 1033020                     | 5| |      72|      76|      80|          |          | |NODENAME                      |    |          | | |
|      76|0HIER_NODE                    |GKR 1033021                     | 6| |      75|      77|      78|          |          | |NODENAME                      |    |          | | |
|      77|0GL_ACCOUNT                   |GKR 0000042000                  | 7| |      76|        |        |          |          | |SAKNR                         |GKR |42000     | | |
|      78|0HIER_NODE                    |GKR 1033022                     | 6| |      75|      79|        |          |          | |NODENAME                      |    |          | | |
|      79|0GL_ACCOUNT                   |GKR 0000042020                  | 7| |      78|        |        |          |          | |SAKNR                         |GKR |42020     | | |
|      80|0HIER_NODE                    |GKR 1033030                     | 5| |      72|      81|      82|          |          | |NODENAME                      |    |          | | |
|      81|0GL_ACCOUNT                   |GKR 0000043000                  | 6| |      80|        |        |          |          | |SAKNR                         |GKR |43000     | | |
|      82|0HIER_NODE                    |GKR 1033040                     | 5| |      72|      83|      87|          |          | |NODENAME                      |    |          | | |
|      83|0HIER_NODE                    |GKR 1033041                     | 6| |      82|      84|      85|          |          | |NODENAME                      |    |          | | |
|      84|0GL_ACCOUNT                   |GKR 0000044000                  | 7| |      83|        |        |          |          | |SAKNR                         |GKR |44000     | | |
|      85|0HIER_NODE                    |GKR 1033042                     | 6| |      82|      86|        |          |          | |NODENAME                      |    |          | | |
|      86|0GL_ACCOUNT                   |GKR 0000044020                  | 7| |      85|        |        |          |          | |SAKNR                         |GKR |44020     | | |
|      87|0HIER_NODE                    |GKR 1033050                     | 5| |      72|      88|      89|          |          | |NODENAME                      |    |          | | |
|      88|0GL_ACCOUNT                   |GKR 0000045000                  | 6| |      87|        |        |          |          | |SAKNR                         |GKR |45000     | | |
|      89|0HIER_NODE                    |GKR 1033060                     | 5| |      72|      90|        |          |          | |NODENAME                      |    |          | | |
|      90|0HIER_NODE                    |GKR 1033061                     | 6| |      89|      91|      92|          |          | |NODENAME                      |    |          | | |
|      91|0GL_ACCOUNT                   |GKR 0000046000                  | 7| |      90|        |        |          |          | |SAKNR                         |GKR |46000     | | |
|      92|0HIER_NODE                    |GKR 1033062                     | 6| |      89|      93|        |          |          | |NODENAME                      |    |          | | |
|      93|0GL_ACCOUNT                   |GKR 0000046020                  | 7| |      92|        |        |          |          | |SAKNR                         |GKR |46020     | | |
|      94|0HIER_NODE                    |GKR 1040000                     | 3| |       2|      95|     238|          |          | |NODENAME                      |    |          | | |
|      95|0HIER_NODE                    |GKR 1041000                     | 4| |      94|      96|     121|          |          | |NODENAME                      |    |          | | |
|      96|0HIER_NODE                    |GKR 1041010                     | 5| |      95|      97|     110|          |          | |NODENAME                      |    |          | | |
|      97|0GL_ACCOUNT                   |GKR 0000191101                  | 6| |      96|        |      98|          |          | |SAKNR                         |GKR |191101    | | |
|      98|0GL_ACCOUNT                   |GKR 0000300000                  | 6| |      96|        |      99|          |          | |SAKNR                         |GKR |300000    | | |
|      99|0GL_ACCOUNT                   |GKR 0000300010                  | 6| |      96|        |     100|          |          | |SAKNR                         |GKR |300010    | | |
|     100|0GL_ACCOUNT                   |GKR 0000300100                  | 6| |      96|        |     101|          |          | |SAKNR                         |GKR |300100    | | |
|     101|0GL_ACCOUNT                   |GKR 0000300200                  | 6| |      96|        |     102|          |          | |SAKNR                         |GKR |300200    | | |
|     102|0GL_ACCOUNT                   |GKR 0000300300                  | 6| |      96|        |     103|          |          | |SAKNR                         |GKR |300300    | | |
|     103|0GL_ACCOUNT                   |GKR 0000303000                  | 6| |      96|        |     104|          |          | |SAKNR                         |GKR |303000    | | |
|     104|0GL_ACCOUNT                   |GKR 0000304000                  | 6| |      96|        |     105|          |          | |SAKNR                         |GKR |304000    | | |
|     105|0GL_ACCOUNT                   |GKR 0000304100                  | 6| |      96|        |     106|          |          | |SAKNR                         |GKR |304100    | | |
|     106|0GL_ACCOUNT                   |GKR 0000304200                  | 6| |      96|        |     107|          |          | |SAKNR                         |GKR |304200    | | |
|     107|0GL_ACCOUNT                   |GKR 0000305000                  | 6| |      96|        |     108|          |          | |SAKNR                         |GKR |305000    | | |
|     108|0GL_ACCOUNT                   |GKR 0000310200                  | 6| |      96|        |     109|          |          | |SAKNR                         |GKR |310200    | | |
|     109|0GL_ACCOUNT                   |GKR 0000380000                  | 6| |      96|        |        |          |          | |SAKNR                         |GKR |380000    | | |
|     110|0HIER_NODE                    |GKR 1041020                     | 5| |      95|     111|     115|          |          | |NODENAME                      |    |          | | |
|     111|0GL_ACCOUNT                   |GKR 0000390000                  | 6| |     110|        |     112|          |          | |SAKNR                         |GKR |390000    | | |
|     112|0GL_ACCOUNT                   |GKR 0000790000                  | 6| |     110|        |     113|          |          | |SAKNR                         |GKR |790000    | | |
|     113|0GL_ACCOUNT                   |GKR 0000791000                  | 6| |     110|        |     114|          |          | |SAKNR                         |GKR |791000    | | |
|     114|0GL_ACCOUNT                   |GKR 0000799999                  | 6| |     110|        |        |          |          | |SAKNR                         |GKR |799999    | | |
|     115|0HIER_NODE                    |GKR 1041030                     | 5| |      95|     116|     118|          |          | |NODENAME                      |    |          | | |
|     116|0GL_ACCOUNT                   |GKR 0000310000                  | 6| |     115|        |     117|          |          | |SAKNR                         |GKR |310000    | | |
|     117|0GL_ACCOUNT                   |GKR 0000792000                  | 6| |     115|        |        |          |          | |SAKNR                         |GKR |792000    | | |
|     118|0HIER_NODE                    |GKR 1041040                     | 5| |      95|     119|        |          |          | |NODENAME                      |    |          | | |
|     119|0GL_ACCOUNT                   |GKR 0000151000                  | 6| |     118|        |     120|          |          | |SAKNR                         |GKR |151000    | | |
|     120|0GL_ACCOUNT                   |GKR 0000151010                  | 6| |     118|        |        |          |          | |SAKNR                         |GKR |151010    | | |
|     121|0HIER_NODE                    |GKR 1042000                     | 4| |      94|     122|     200|          |          | |NODENAME                      |    |          | | |
|     122|0HIER_NODE                    |GKR 1042010                     | 5| |     121|     123|     143|          |          | |NODENAME                      |    |          | | |
|     123|0HIER_NODE                    |GKR 1042011                     | 6| |     122|     124|     140|          |          | |NODENAME                      |    |          | | |
|     124|0GL_ACCOUNT                   |GKR 0000080000                  | 7| |     123|        |     125|          |          | |SAKNR                         |GKR |80000     | | |
|     125|0GL_ACCOUNT                   |GKR 0000113107                  | 7| |     123|        |     126|          |          | |SAKNR                         |GKR |113107    | | |
|     126|0GL_ACCOUNT                   |GKR 0000113207                  | 7| |     123|        |     127|          |          | |SAKNR                         |GKR |113207    | | |
|     127|0GL_ACCOUNT                   |GKR 0000125000                  | 7| |     123|        |     128|          |          | |SAKNR                         |GKR |125000    | | |
|     128|0GL_ACCOUNT                   |GKR 0000126000                  | 7| |     123|        |     129|          |          | |SAKNR                         |GKR |126000    | | |
|     129|0GL_ACCOUNT                   |GKR 0000127000                  | 7| |     123|        |     130|          |          | |SAKNR                         |GKR |127000    | | |
|     130|0GL_ACCOUNT                   |GKR 0000140000                  | 7| |     123|        |     131|          |          | |SAKNR                         |GKR |140000    | | |
|     131|0GL_ACCOUNT                   |GKR 0000140010                  | 7| |     123|        |     132|          |          | |SAKNR                         |GKR |140010    | | |
|     132|0GL_ACCOUNT                   |GKR 0000140030                  | 7| |     123|        |     133|          |          | |SAKNR                         |GKR |140030    | | |
|     133|0GL_ACCOUNT                   |GKR 0000140099                  | 7| |     123|        |     134|          |          | |SAKNR                         |GKR |140099    | | |
|     134|0GL_ACCOUNT                   |GKR 0000141000                  | 7| |     123|        |     135|          |          | |SAKNR                         |GKR |141000    | | |
|     135|0GL_ACCOUNT                   |GKR 0000141010                  | 7| |     123|        |     136|          |          | |SAKNR                         |GKR |141010    | | |
|     136|0GL_ACCOUNT                   |GKR 0000141099                  | 7| |     123|        |     137|          |          | |SAKNR                         |GKR |141099    | | |
|     137|0GL_ACCOUNT                   |GKR 0000142000                  | 7| |     123|        |     138|          |          | |SAKNR                         |GKR |142000    | | |
|     138|0GL_ACCOUNT                   |GKR 0000143100                  | 7| |     123|        |     139|          |          | |SAKNR                         |GKR |143100    | | |
|     139|0GL_ACCOUNT                   |GKR 0000197000                  | 7| |     123|        |        |          |          | |SAKNR                         |GKR |197000    | | |
|     140|0HIER_NODE                    |GKR 1042012                     | 6| |     122|     141|        |          |          | |NODENAME                      |    |          | | |
|     141|0GL_ACCOUNT                   |GKR 0000140020                  | 7| |     140|        |     142|          |          | |SAKNR                         |GKR |140020    | | |
|     142|0GL_ACCOUNT                   |GKR 0000141020                  | 7| |     140|        |        |          |          | |SAKNR                         |GKR |141020    | | |
|     143|0HIER_NODE                    |GKR 1042020                     | 5| |     121|     144|     173|          |          | |NODENAME                      |    |          | | |
|     144|0HIER_NODE                    |GKR 1042021                     | 6| |     143|     145|     171|          |          | |NODENAME                      |    |          | | |
|     145|0HIER_NODE                    |GKR 1042021/12                  | 7| |     144|     146|     158|          |          | |NODENAME                      |    |          | |1|
|     146|0GL_ACCOUNT                   |GKR 0000113122                  | 8| |     145|        |     147|          |          | |SAKNR                         |GKR |113122    | | |
|     147|0GL_ACCOUNT                   |GKR 0000113222                  | 8| |     145|        |     148|          |          | |SAKNR                         |GKR |113222    | | |
|     148|0GL_ACCOUNT                   |GKR 0000125002                  | 8| |     145|        |     149|          |          | |SAKNR                         |GKR |125002    | | |
|     149|0GL_ACCOUNT                   |GKR 0000144002                  | 8| |     145|        |     150|          |          | |SAKNR                         |GKR |144002    | | |
|     150|0GL_ACCOUNT                   |GKR 0000144102                  | 8| |     145|        |     151|          |          | |SAKNR                         |GKR |144102    | | |
|     151|0GL_ACCOUNT                   |GKR 0000151102                  | 8| |     145|        |     152|          |          | |SAKNR                         |GKR |151102    | | |
|     152|0GL_ACCOUNT                   |GKR 0000151202                  | 8| |     145|        |     153|          |          | |SAKNR                         |GKR |151202    | | |
|     153|0GL_ACCOUNT                   |GKR 0000164002                  | 8| |     145|        |     154|          |          | |SAKNR                         |GKR |164002    | | |
|     154|0GL_ACCOUNT                   |GKR 0000164102                  | 8| |     145|        |     155|          |          | |SAKNR                         |GKR |164102    | | |
|     155|0GL_ACCOUNT                   |GKR 0000171002                  | 8| |     145|        |     156|          |          | |SAKNR                         |GKR |171002    | | |
|     156|0GL_ACCOUNT                   |GKR 0000171202                  | 8| |     145|        |     157|          |          | |SAKNR                         |GKR |171202    | | |
|     157|0GL_ACCOUNT                   |GKR 0000194002                  | 8| |     145|        |        |          |          | |SAKNR                         |GKR |194002    | | |
|     158|0HIER_NODE                    |GKR 1042021/13                  | 7| |     144|     159|        |          |          | |NODENAME                      |    |          | |1|
|     159|0GL_ACCOUNT                   |GKR 0000113123                  | 8| |     158|        |     160|          |          | |SAKNR                         |GKR |113123    | | |
|     160|0GL_ACCOUNT                   |GKR 0000113223                  | 8| |     158|        |     161|          |          | |SAKNR                         |GKR |113223    | | |
|     161|0GL_ACCOUNT                   |GKR 0000125003                  | 8| |     158|        |     162|          |          | |SAKNR                         |GKR |125003    | | |
|     162|0GL_ACCOUNT                   |GKR 0000144003                  | 8| |     158|        |     163|          |          | |SAKNR                         |GKR |144003    | | |
|     163|0GL_ACCOUNT                   |GKR 0000144103                  | 8| |     158|        |     164|          |          | |SAKNR                         |GKR |144103    | | |
|     164|0GL_ACCOUNT                   |GKR 0000151103                  | 8| |     158|        |     165|          |          | |SAKNR                         |GKR |151103    | | |
|     165|0GL_ACCOUNT                   |GKR 0000151203                  | 8| |     158|        |     166|          |          | |SAKNR                         |GKR |151203    | | |
|     166|0GL_ACCOUNT                   |GKR 0000164003                  | 8| |     158|        |     167|          |          | |SAKNR                         |GKR |164003    | | |
|     167|0GL_ACCOUNT                   |GKR 0000164103                  | 8| |     158|        |     168|          |          | |SAKNR                         |GKR |164103    | | |
|     168|0GL_ACCOUNT                   |GKR 0000171003                  | 8| |     158|        |     169|          |          | |SAKNR                         |GKR |171003    | | |
|     169|0GL_ACCOUNT                   |GKR 0000171203                  | 8| |     158|        |     170|          |          | |SAKNR                         |GKR |171203    | | |
|     170|0GL_ACCOUNT                   |GKR 0000194001                  | 8| |     158|        |        |          |          | |SAKNR                         |GKR |194001    | | |
|     171|0HIER_NODE                    |GKR 1042022                     | 6| |     143|     172|        |          |          | |NODENAME                      |    |          | | |
|     172|0GL_ACCOUNT                   |GKR 0000144020                  | 7| |     171|        |        |          |          | |SAKNR                         |GKR |144020    | | |
|     173|0HIER_NODE                    |GKR 1042030                     | 5| |     121|     174|     179|          |          | |NODENAME                      |    |          | | |
|     174|0HIER_NODE                    |GKR 1042031                     | 6| |     173|     175|     177|          |          | |NODENAME                      |    |          | | |
|     175|0GL_ACCOUNT                   |GKR 0000145000                  | 7| |     174|        |     176|          |          | |SAKNR                         |GKR |145000    | | |
|     176|0GL_ACCOUNT                   |GKR 0000145099                  | 7| |     174|        |        |          |          | |SAKNR                         |GKR |145099    | | |
|     177|0HIER_NODE                    |GKR 1042032                     | 6| |     173|     178|        |          |          | |NODENAME                      |    |          | | |
|     178|0GL_ACCOUNT                   |GKR 0000145020                  | 7| |     177|        |        |          |          | |SAKNR                         |GKR |145020    | | |
|     179|0HIER_NODE                    |GKR 1042040                     | 5| |     121|     180|        |          |          | |NODENAME                      |    |          | | |
|     180|0HIER_NODE                    |GKR 1042041                     | 6| |     179|     181|     198|          |          | |NODENAME                      |    |          | | |
|     181|0HIER_NODE                    |GKR 1042041/00                  | 7| |     180|     182|     191|          |          | |NODENAME                      |    |          | | |
|     182|0GL_ACCOUNT                   |GKR 0000120000                  | 8| |     181|        |     183|          |          | |SAKNR                         |GKR |120000    | | |
|     183|0GL_ACCOUNT                   |GKR 0000143000                  | 8| |     181|        |     184|          |          | |SAKNR                         |GKR |143000    | | |
|     184|0GL_ACCOUNT                   |GKR 0000152000                  | 8| |     181|        |     185|          |          | |SAKNR                         |GKR |152000    | | |
|     185|0GL_ACCOUNT                   |GKR 0000155000                  | 8| |     181|        |     186|          |          | |SAKNR                         |GKR |155000    | | |
|     186|0GL_ACCOUNT                   |GKR 0000156000                  | 8| |     181|        |     187|          |          | |SAKNR                         |GKR |156000    | | |
|     187|0GL_ACCOUNT                   |GKR 0000159000                  | 8| |     181|        |     188|          |          | |SAKNR                         |GKR |159000    | | |
|     188|0GL_ACCOUNT                   |GKR 0000159010                  | 8| |     181|        |     189|          |          | |SAKNR                         |GKR |159010    | | |
|     189|0GL_ACCOUNT                   |GKR 0000159100                  | 8| |     181|        |     190|          |          | |SAKNR                         |GKR |159100    | | |
|     190|0GL_ACCOUNT                   |GKR 0000166000                  | 8| |     181|        |        |          |          | |SAKNR                         |GKR |166000    | | |
|     191|0HIER_NODE                    |GKR 1042041/10                  | 7| |     180|     192|        |          |          | |NODENAME                      |    |          | |1|
|     192|0GL_ACCOUNT                   |GKR 0000154000                  | 8| |     191|        |     193|          |          | |SAKNR                         |GKR |154000    | | |
|     193|0GL_ACCOUNT                   |GKR 0000154100                  | 8| |     191|        |     194|          |          | |SAKNR                         |GKR |154100    | | |
|     194|0GL_ACCOUNT                   |GKR 0000154300                  | 8| |     191|        |     195|          |          | |SAKNR                         |GKR |154300    | | |
|     195|0GL_ACCOUNT                   |GKR 0000175000                  | 8| |     191|        |     196|          |          | |SAKNR                         |GKR |175000    | | |
|     196|0GL_ACCOUNT                   |GKR 0000195000                  | 8| |     191|        |     197|          |          | |SAKNR                         |GKR |195000    | | |
|     197|0GL_ACCOUNT                   |GKR 0000195200                  | 8| |     191|        |        |          |          | |SAKNR                         |GKR |195200    | | |
|     198|0HIER_NODE                    |GKR 1042042                     | 6| |     179|     199|        |          |          | |NODENAME                      |    |          | | |
|     199|0GL_ACCOUNT                   |GKR 0000159200                  | 7| |     198|        |        |          |          | |SAKNR                         |GKR |159200    | | |
|     200|0HIER_NODE                    |GKR 1043000                     | 4| |      94|     201|     207|          |          | |NODENAME                      |    |          | | |
|     201|0HIER_NODE                    |GKR 1043010                     | 5| |     200|     202|     203|          |          | |NODENAME                      |    |          | | |
|     202|0GL_ACCOUNT                   |GKR 0000131000                  | 6| |     201|        |        |          |          | |SAKNR                         |GKR |131000    | | |
|     203|0HIER_NODE                    |GKR 1043020                     | 5| |     200|     204|     205|          |          | |NODENAME                      |    |          | | |
|     204|0GL_ACCOUNT                   |GKR 0000132000                  | 6| |     203|        |        |          |          | |SAKNR                         |GKR |132000    | | |
|     205|0HIER_NODE                    |GKR 1043030                     | 5| |     200|     206|        |          |          | |NODENAME                      |    |          | | |
|     206|0GL_ACCOUNT                   |GKR 0000133000                  | 6| |     205|        |        |          |          | |SAKNR                         |GKR |133000    | | |
|     207|0HIER_NODE                    |GKR 1044000                     | 4| |      94|     208|        |          |          | |NODENAME                      |    |          | | |
|     208|0HIER_NODE                    |GKR 1044000/00                  | 5| |     207|     209|     214|          |          | |NODENAME                      |    |          | | |
|     209|0GL_ACCOUNT                   |GKR 0000100000                  | 6| |     208|        |     210|          |          | |SAKNR                         |GKR |100000    | | |
|     210|0GL_ACCOUNT                   |GKR 0000101000                  | 6| |     208|        |     211|          |          | |SAKNR                         |GKR |101000    | | |
|     211|0GL_ACCOUNT                   |GKR 0000102000                  | 6| |     208|        |     212|          |          | |SAKNR                         |GKR |102000    | | |
|     212|0GL_ACCOUNT                   |GKR 0000114000                  | 6| |     208|        |     213|          |          | |SAKNR                         |GKR |114000    | | |
|     213|0GL_ACCOUNT                   |GKR 0000115000                  | 6| |     208|        |        |          |          | |SAKNR                         |GKR |115000    | | |
|     214|0HIER_NODE                    |GKR 1044000/21                  | 5| |     207|     215|     218|          |          | |NODENAME                      |    |          | |1|
|     215|0GL_ACCOUNT                   |GKR 0000110000                  | 6| |     214|        |     216|          |          | |SAKNR                         |GKR |110000    | | |
|     216|0GL_ACCOUNT                   |GKR 0000110002                  | 6| |     214|        |     217|          |          | |SAKNR                         |GKR |110002    | | |
|     217|0GL_ACCOUNT                   |GKR 0000110005                  | 6| |     214|        |        |          |          | |SAKNR                         |GKR |110005    | | |
