-----------------------------------------------------
| DataSource          0GL_ACCOUNT_T011_HIER         |
| Struktur            DTFIGL_HIERNODE               |
-----------------------------------------------------
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|ID(NODEI|InfoObject(IOBJNM)            |Node name(NODENAME)             |Le|L|Parent I|Child ID|Next ID(|Valid from|To(DATETO)|I|Field(FIELDNM)                |Chrt|G/L acct(S|S|(|
|     193|0GL_ACCOUNT                   |CAUS0000194002                  | 6| |     181|        |     194|          |          | |SAKNR                         |CAUS|194002    | | |
|     194|0GL_ACCOUNT                   |CAUS0000194003                  | 6| |     181|        |     195|          |          | |SAKNR                         |CAUS|194003    | | |
|     195|0GL_ACCOUNT                   |CAUS0000194004                  | 6| |     181|        |     196|          |          | |SAKNR                         |CAUS|194004    | | |
|     196|0GL_ACCOUNT                   |CAUS0000194005                  | 6| |     181|        |     197|          |          | |SAKNR                         |CAUS|194005    | | |
|     197|0GL_ACCOUNT                   |CAUS0000194006                  | 6| |     181|        |        |          |          | |SAKNR                         |CAUS|194006    | | |
|     198|0HIER_NODE                    |CAUS2014000                     | 4| |     163|     199|     209|          |          | |NODENAME                      |    |          | | |
|     199|0HIER_NODE                    |CAUS2014100                     | 5| |     198|     200|     201|          |          | |NODENAME                      |    |          | | |
|     200|0GL_ACCOUNT                   |CAUS0000175000                  | 6| |     199|        |        |          |          | |SAKNR                         |CAUS|175000    | | |
|     201|0HIER_NODE                    |CAUS2014200                     | 5| |     198|     202|        |          |          | |NODENAME                      |    |          | | |
|     202|0GL_ACCOUNT                   |CAUS0000087000                  | 6| |     201|        |     203|          |          | |SAKNR                         |CAUS|87000     | | |
|     203|0GL_ACCOUNT                   |CAUS0000088000                  | 6| |     201|        |     204|          |          | |SAKNR                         |CAUS|88000     | | |
|     204|0GL_ACCOUNT                   |CAUS0000176100                  | 6| |     201|        |     205|          |          | |SAKNR                         |CAUS|176100    | | |
|     205|0GL_ACCOUNT                   |CAUS0000176500                  | 6| |     201|        |     206|          |          | |SAKNR                         |CAUS|176500    | | |
|     206|0GL_ACCOUNT                   |CAUS0000178100                  | 6| |     201|        |     207|          |          | |SAKNR                         |CAUS|178100    | | |
|     207|0GL_ACCOUNT                   |CAUS0000950000                  | 6| |     201|        |     208|          |          | |SAKNR                         |CAUS|950000    | | |
|     208|0GL_ACCOUNT                   |CAUS0000960000                  | 6| |     201|        |        |          |          | |SAKNR                         |CAUS|960000    | | |
|     209|0HIER_NODE                    |CAUS2015000                     | 4| |     163|     210|        |          |          | |NODENAME                      |    |          | | |
|     210|0HIER_NODE                    |CAUS2015100                     | 5| |     209|     211|     212|          |          | |NODENAME                      |    |          | | |
|     211|0GL_ACCOUNT                   |CAUS0000176000                  | 6| |     210|        |        |          |          | |SAKNR                         |CAUS|176000    | | |
|     212|0HIER_NODE                    |CAUS2015200                     | 5| |     209|     213|     215|          |          | |NODENAME                      |    |          | | |
